TaskID,TaskType,MachineID,MachineType,MachineAgeYears,OperatorID,OperatorSkillLevel,OperatorExperienceYears,WeatherCondition,AmbientTemperatureC,HumidityPercent,WindSpeedKph,SiteTerrainType,MaterialType,LoadVolumeM3,DistanceCoveredM,TimeOfDay,ShiftHoursElapsed,NumberOfBreaks,PriorTaskDelayMin,IdlingDuringTaskMin,FuelConsumedDuringTaskL,EstimatedTimeMin,ActualTimeMin,SafetyIncidentDuringTask
T00361,Lifting,EXC003,Excavator,5,OP010,Beginner,0,Cloudy,6.84,45.59,8.26,Flat,Debris,39.27,135.46,Morning,3.84,3,4.56,14.86,3.97,42.00,62.66,No
T00362,Trenching,LDR003,Loader,8,OP017,Intermediate,6,Rainy,30.21,77.17,10.28,Sandy,Rock,10.16,377.32,Morning,4.76,0,0.00,2.32,5.12,56.92,72.98,No
T00363,Digging,CRN001,Crane,3,OP019,Intermediate,6,Sunny,22.41,36.87,9.75,Sandy,Concrete,52.94,283.92,Evening,7.65,1,26.37,2.78,2.86,55.00,64.44,No
T00364,Material Loading,GRD002,Grader,6,OP015,Expert,9,Cloudy,14.57,33.17,4.52,Muddy,Rock,37.72,107.92,Morning,7.51,3,4.52,0.97,2.57,37.80,47.96,No
T00365,Grading,EXC002,Excavator,2,OP018,Intermediate,4,Foggy,9.47,34.89,8.51,Muddy,Concrete,44.21,241.54,Morning,8.25,0,2.56,9.84,3.44,50.40,64.90,No
T00366,Demolition,CRN002,Crane,6,OP004,Beginner,1,Windy,22.91,58.76,35.17,Muddy,Rock,38.85,407.75,Night,5.56,3,5.20,15.68,10.30,118.80,172.82,Yes
T00367,Trenching,CRN002,Crane,6,OP004,Beginner,1,Cloudy,7.39,53.52,4.63,Flat,Rock,33.29,292.69,Evening,5.94,1,11.34,11.28,5.15,47.25,81.31,No
T00368,Digging,EXC003,Excavator,5,OP003,Beginner,2,Sunny,19.21,45.63,13.49,Sandy,Concrete,22.71,44.37,Night,7.54,1,3.91,9.57,4.59,55.00,81.66,No
T00369,Digging,BLD003,Bulldozer,5,OP014,Beginner,2,Snowy,4.34,58.87,4.87,Rocky,Debris,44.75,94.50,Afternoon,2.20,3,5.61,7.32,5.90,74.75,101.83,No
T00370,Demolition,LDR003,Loader,8,OP011,Intermediate,3,Sunny,19.83,35.18,0.00,Sandy,Concrete,54.16,263.59,Afternoon,6.33,3,10.16,0.60,7.15,99.00,117.20,No
T00371,Grading,EXC002,Excavator,2,OP010,Beginner,0,Sunny,21.44,43.75,9.33,Muddy,Sand,35.21,337.90,Night,9.85,2,11.47,7.40,4.00,42.00,69.64,No
T00372,Grading,CRN002,Crane,6,OP017,Intermediate,6,Cloudy,22.10,38.15,8.49,Hilly,Rock,16.48,493.34,Evening,1.89,0,9.07,6.23,2.79,42.26,50.22,No
T00373,Material Loading,EXC002,Excavator,2,OP010,Beginner,0,Sunny,30.55,36.11,20.07,Muddy,Rock,7.23,470.62,Morning,6.40,2,6.76,14.47,2.74,36.00,54.36,Yes
T00374,Material Loading,BLD003,Bulldozer,5,OP018,Intermediate,4,Cloudy,7.70,67.08,7.53,Flat,Concrete,38.13,330.39,Morning,8.52,2,3.79,0.30,2.79,31.50,47.78,No
T00375,Trenching,LDR001,Loader,1,OP010,Beginner,0,Cloudy,22.56,66.56,7.64,Rocky,Debris,22.90,247.98,Evening,8.77,2,3.02,14.12,3.75,54.34,85.68,Yes
T00376,Trenching,EXC001,Excavator,7,OP014,Beginner,2,Rainy,15.99,84.01,5.02,Muddy,Soil,23.17,447.65,Morning,1.45,1,13.91,5.49,6.26,62.10,92.93,No
T00377,Digging,BLD001,Bulldozer,2,OP010,Beginner,0,Snowy,-6.34,35.08,22.53,Hilly,Debris,37.40,35.90,Night,1.74,2,8.45,9.33,5.62,74.75,102.12,Yes
T00378,Lifting,EXC001,Excavator,7,OP008,Beginner,0,Windy,17.13,68.32,38.59,Flat,Concrete,53.47,288.88,Afternoon,5.63,2,7.70,16.71,4.24,44.00,69.30,No
T00379,Earth Excavation,CRN001,Crane,3,OP013,Intermediate,3,Sunny,17.80,76.61,9.05,Rocky,Sand,51.37,225.28,Evening,8.32,1,13.77,4.08,4.74,69.00,86.93,No
T00380,Material Loading,EXC001,Excavator,7,OP012,Beginner,2,Rainy,15.40,93.22,23.80,Hilly,Rock,54.03,168.15,Evening,5.33,0,0.00,7.67,3.47,39.67,65.16,No
T00381,Digging,DMP001,DumpTruck,6,OP007,Intermediate,3,Cloudy,21.64,51.37,14.58,Sandy,Rock,12.41,143.99,Evening,2.49,2,1.91,12.71,4.46,57.75,65.77,No
T00382,Compacting,BLD001,Bulldozer,2,OP015,Expert,9,Cloudy,24.45,26.00,15.82,Sandy,Soil,59.21,369.48,Night,7.34,1,0.00,0.00,3.02,63.53,62.04,No
T00383,Compacting,EXC003,Excavator,5,OP004,Beginner,1,Sunny,24.69,56.74,12.22,Flat,Rock,16.63,412.35,Evening,5.27,1,6.31,6.63,4.73,55.00,80.45,No
T00384,Earth Excavation,CRN001,Crane,3,OP009,Beginner,2,Cloudy,14.35,35.23,20.27,Sandy,Soil,40.36,139.85,Night,6.35,3,5.56,9.05,5.32,69.30,95.90,Yes
T00385,Material Loading,EXC003,Excavator,5,OP006,Intermediate,6,Sunny,24.34,87.15,11.96,Muddy,Rock,54.06,331.97,Afternoon,6.66,2,4.90,0.00,1.95,36.00,44.87,No
T00386,Digging,BLD002,Bulldozer,5,OP003,Beginner,2,Cloudy,23.04,46.77,11.55,Hilly,Rock,25.97,157.80,Evening,9.71,1,9.53,15.07,5.35,60.37,98.95,No
T00387,Trenching,LDR001,Loader,1,OP004,Beginner,1,Sunny,33.74,30.07,10.10,Muddy,Sand,23.36,458.81,Evening,7.77,2,8.12,21.69,3.94,54.00,78.07,No
T00388,Trenching,BLD003,Bulldozer,5,OP004,Beginner,1,Rainy,19.73,85.80,10.31,Sandy,Debris,10.37,467.97,Night,6.10,2,0.00,9.28,5.21,56.92,89.74,No
T00389,Grading,GRD002,Grader,6,OP013,Intermediate,3,Rainy,22.22,92.92,22.93,Muddy,Debris,17.56,94.01,Morning,9.93,3,4.23,5.30,3.65,48.30,64.22,No
T00390,Compacting,EXC003,Excavator,5,OP020,Intermediate,6,Sunny,24.20,54.75,20.04,Muddy,Sand,45.99,176.03,Morning,5.52,1,2.51,2.17,4.70,66.00,74.56,No
T00391,Demolition,LDR001,Loader,1,OP005,Intermediate,3,Cloudy,22.28,43.71,12.03,Muddy,Rock,53.95,159.29,Night,0.75,1,1.49,5.83,6.26,113.40,111.48,No
T00392,Trenching,LDR002,Loader,4,OP014,Beginner,2,Sunny,24.35,47.51,8.14,Sandy,Rock,17.29,93.93,Night,2.77,3,16.17,7.83,3.57,49.50,65.96,No
T00393,Trenching,EXC003,Excavator,5,OP006,Intermediate,6,Cloudy,13.37,59.24,13.46,Hilly,Soil,26.24,46.98,Afternoon,7.78,2,16.47,6.90,4.13,54.34,75.60,No
T00394,Earth Excavation,LDR003,Loader,8,OP002,Expert,10,Cloudy,26.68,46.69,5.89,Hilly,Debris,58.41,69.49,Night,6.97,3,2.09,0.00,4.97,72.45,83.78,Yes
T00395,Grading,GRD001,Grader,6,OP015,Expert,9,Rainy,20.93,99.47,7.67,Hilly,Sand,13.83,149.28,Afternoon,0.11,3,10.43,7.31,2.02,46.29,36.32,No
T00396,Earth Excavation,LDR001,Loader,1,OP009,Beginner,2,Sunny,18.67,53.38,7.02,Sandy,Debris,35.78,357.89,Evening,4.87,2,5.64,9.19,4.17,66.00,90.07,No
T00397,Compacting,GRD001,Grader,6,OP005,Intermediate,3,Rainy,37.26,73.46,5.79,Muddy,Rock,35.33,285.04,Evening,8.59,0,0.00,3.81,5.57,75.90,94.29,No
T00398,Material Loading,BLD003,Bulldozer,5,OP007,Intermediate,3,Rainy,20.69,78.51,4.69,Flat,Rock,28.61,168.24,Evening,7.96,0,9.11,3.00,2.78,34.50,49.77,No
T00399,Trenching,CRN001,Crane,3,OP003,Beginner,2,Cloudy,23.27,48.00,0.00,Muddy,Sand,17.02,57.96,Afternoon,2.75,3,5.26,4.03,4.42,56.70,81.57,No
T00400,Lifting,BLD001,Bulldozer,2,OP001,Beginner,0,Cloudy,22.95,33.59,7.51,Hilly,Rock,5.26,112.33,Night,7.49,1,8.59,9.79,3.85,48.30,70.83,No
T00401,Demolition,GRD002,Grader,6,OP005,Intermediate,3,Foggy,18.22,51.04,17.47,Flat,Debris,39.49,338.93,Evening,8.02,2,8.81,8.33,7.58,108.00,133.66,No
T00402,Digging,LDR003,Loader,8,OP002,Expert,10,Rainy,24.18,81.06,7.83,Muddy,Rock,17.64,174.84,Night,0.56,1,12.68,2.04,4.84,69.00,65.89,No
T00403,Grading,CRN001,Crane,3,OP006,Intermediate,6,Cloudy,22.17,43.49,11.65,Hilly,Soil,56.43,57.36,Morning,4.34,0,7.99,0.38,2.91,42.26,56.60,No
T00404,Material Loading,CRN001,Crane,3,OP016,Expert,10,Snowy,6.51,52.85,10.49,Muddy,Concrete,28.75,324.44,Evening,1.75,0,0.00,4.76,2.79,46.80,46.21,No
T00405,Grading,BLD002,Bulldozer,5,OP016,Expert,10,Cloudy,15.79,43.58,8.64,Rocky,Concrete,12.93,45.46,Night,5.62,2,8.66,1.99,2.53,42.26,46.13,No
T00406,Lifting,DMP002,DumpTruck,5,OP017,Intermediate,6,Cloudy,4.22,41.11,12.08,Hilly,Sand,8.99,498.63,Morning,3.63,3,5.43,7.05,3.34,48.30,60.02,No
T00407,Trenching,LDR002,Loader,4,OP019,Intermediate,6,Cloudy,18.64,58.15,25.72,Hilly,Rock,15.80,459.63,Evening,7.87,3,5.10,7.40,3.57,54.34,69.38,No
T00408,Earth Excavation,EXC003,Excavator,5,OP004,Beginner,1,Cloudy,9.23,49.06,5.76,Sandy,Rock,20.12,132.66,Night,2.18,0,0.80,12.90,5.85,69.30,105.98,No
T00409,Compacting,GRD001,Grader,6,OP016,Expert,10,Sunny,26.80,43.61,9.55,Hilly,Rock,49.01,196.76,Night,7.03,0,7.63,1.30,4.02,63.25,71.62,No
T00410,Material Loading,EXC002,Excavator,2,OP010,Beginner,0,Rainy,22.27,66.86,7.31,Hilly,Debris,57.31,218.62,Night,5.82,3,10.35,10.97,3.03,39.67,62.14,No
T00411,Compacting,DMP002,DumpTruck,5,OP020,Intermediate,6,Rainy,17.92,64.72,15.75,Flat,Sand,39.73,460.72,Evening,1.60,0,0.00,13.11,4.23,63.25,71.75,No
T00412,Material Loading,GRD001,Grader,6,OP011,Intermediate,3,Cloudy,16.17,27.60,4.40,Flat,Concrete,45.15,87.78,Evening,9.53,1,0.00,5.92,3.24,31.50,51.10,No
T00413,Earth Excavation,BLD003,Bulldozer,5,OP014,Beginner,2,Sunny,40.58,47.52,6.81,Hilly,Concrete,21.47,412.86,Night,7.70,0,5.99,13.00,6.28,69.00,106.87,No
T00414,Demolition,BLD002,Bulldozer,5,OP020,Intermediate,6,Sunny,19.00,43.46,19.73,Hilly,Debris,33.77,259.11,Night,6.83,0,6.82,4.45,7.21,103.50,118.14,No
T00415,Trenching,LDR002,Loader,4,OP001,Beginner,0,Windy,10.54,64.17,40.62,Rocky,Debris,6.18,322.62,Morning,9.61,0,0.00,11.63,5.29,56.93,92.08,No
T00416,Demolition,CRN001,Crane,3,OP011,Intermediate,3,Cloudy,21.11,55.27,7.26,Sandy,Sand,29.85,210.07,Evening,5.12,3,10.61,4.02,7.03,103.95,123.57,No
T00417,Material Loading,GRD001,Grader,6,OP020,Intermediate,6,Cloudy,19.74,73.20,11.15,Hilly,Soil,25.91,294.06,Night,0.54,0,0.48,12.14,2.37,36.22,40.70,No
T00418,Grading,EXC003,Excavator,5,OP017,Intermediate,6,Windy,27.22,55.32,36.73,Rocky,Soil,23.40,22.92,Afternoon,7.08,0,0.00,14.38,3.07,44.27,58.88,No
T00419,Demolition,DMP001,DumpTruck,6,OP007,Intermediate,3,Sunny,9.55,54.85,15.95,Muddy,Concrete,21.39,29.69,Night,1.32,2,10.04,0.00,7.18,108.00,116.76,No
T00420,Earth Excavation,LDR003,Loader,8,OP001,Beginner,0,Sunny,16.45,49.60,12.55,Muddy,Rock,24.85,151.67,Afternoon,1.59,3,0.00,10.63,6.60,72.00,107.94,No
T00421,Compacting,CRN001,Crane,3,OP012,Beginner,2,Snowy,4.17,53.93,0.00,Muddy,Rock,37.88,39.81,Evening,5.26,3,0.00,12.58,6.71,85.80,123.22,No
T00422,Material Loading,GRD001,Grader,6,OP008,Beginner,0,Cloudy,17.30,44.74,3.64,Rocky,Soil,59.91,204.91,Morning,6.82,0,8.28,16.96,4.03,36.22,61.19,No
T00423,Compacting,DMP002,DumpTruck,5,OP014,Beginner,2,Sunny,21.47,42.82,4.37,Rocky,Soil,36.52,479.75,Afternoon,2.13,3,10.35,13.31,5.36,63.25,92.09,No
T00424,Digging,EXC003,Excavator,5,OP006,Intermediate,6,Rainy,12.98,79.32,13.10,Sandy,Rock,33.12,290.55,Evening,1.13,3,6.21,0.00,4.04,63.25,71.51,No
T00425,Material Loading,EXC001,Excavator,7,OP004,Beginner,1,Sunny,28.73,44.56,15.47,Sandy,Rock,31.43,462.50,Afternoon,0.34,3,0.00,10.88,3.13,33.00,49.12,No
T00426,Demolition,BLD003,Bulldozer,5,OP017,Intermediate,6,Sunny,19.58,44.80,16.00,Muddy,Soil,49.36,339.30,Evening,4.54,0,0.85,7.41,7.52,108.00,125.38,No
T00427,Trenching,DMP001,DumpTruck,6,OP018,Intermediate,4,Rainy,16.59,78.18,2.61,Muddy,Concrete,12.91,366.25,Evening,0.10,1,19.54,4.74,3.82,62.10,63.68,No
T00428,Digging,BLD002,Bulldozer,5,OP014,Beginner,2,Sunny,22.83,47.07,9.80,Sandy,Sand,52.43,157.44,Afternoon,5.26,2,4.84,6.75,5.38,55.00,90.25,No
T00429,Trenching,BLD001,Bulldozer,2,OP014,Beginner,2,Rainy,14.04,71.46,11.40,Muddy,Rock,34.67,492.01,Night,8.94,3,0.00,11.12,5.22,62.10,95.38,No
T00430,Earth Excavation,BLD001,Bulldozer,2,OP005,Intermediate,3,Windy,12.16,30.76,34.05,Muddy,Sand,59.10,475.26,Evening,8.49,1,0.00,9.11,4.68,79.20,89.94,No
T00431,Compacting,LDR003,Loader,8,OP006,Intermediate,6,Sunny,15.95,53.90,8.52,Rocky,Concrete,43.13,475.22,Afternoon,0.72,3,6.97,10.92,4.42,63.25,66.31,No
T00432,Lifting,CRN001,Crane,3,OP019,Intermediate,6,Sunny,15.44,48.53,2.48,Hilly,Concrete,21.96,439.32,Night,6.71,2,4.25,4.54,3.34,46.00,56.46,No
T00433,Trenching,DMP001,DumpTruck,6,OP011,Intermediate,3,Rainy,18.76,65.55,17.54,Sandy,Concrete,9.25,184.69,Morning,7.23,2,7.92,14.37,5.08,56.92,74.98,No
T00434,Digging,LDR002,Loader,4,OP008,Beginner,0,Cloudy,20.69,35.40,15.40,Muddy,Rock,7.58,344.63,Afternoon,2.88,0,5.81,16.45,5.45,63.00,89.75,No
T00435,Grading,EXC001,Excavator,7,OP020,Intermediate,6,Sunny,20.58,32.40,7.37,Sandy,Soil,32.42,279.08,Evening,7.99,0,12.26,2.83,3.21,38.50,56.03,No
T00436,Lifting,GRD001,Grader,6,OP005,Intermediate,3,Sunny,23.01,55.41,10.17,Hilly,Soil,59.30,90.10,Morning,6.58,1,7.61,6.16,4.24,46.00,62.08,No
T00437,Grading,GRD001,Grader,6,OP012,Beginner,2,Sunny,20.74,58.46,19.59,Rocky,Rock,50.73,357.70,Night,4.19,2,13.79,8.06,3.10,40.25,59.75,No
T00438,Digging,CRN001,Crane,3,OP010,Beginner,0,Sunny,15.31,50.46,7.94,Muddy,Debris,20.22,240.14,Afternoon,8.35,0,0.00,12.81,5.64,60.00,94.51,No
T00439,Compacting,BLD003,Bulldozer,5,OP006,Intermediate,6,Sunny,27.17,50.99,0.00,Sandy,Soil,5.99,238.58,Night,4.79,2,11.07,5.75,3.76,60.50,66.18,No
T00440,Lifting,GRD001,Grader,6,OP014,Beginner,2,Cloudy,13.67,49.08,11.66,Muddy,Soil,59.16,89.12,Evening,3.84,0,0.00,17.56,4.71,50.40,69.78,No
T00441,Earth Excavation,BLD003,Bulldozer,5,OP016,Expert,10,Rainy,20.08,87.18,0.00,Hilly,Soil,22.44,24.77,Afternoon,1.12,3,10.55,7.97,4.11,79.35,73.28,Yes
T00442,Trenching,LDR001,Loader,1,OP004,Beginner,1,Rainy,22.05,62.33,14.87,Flat,Soil,5.49,336.80,Afternoon,8.72,1,0.00,15.67,4.16,51.75,80.39,No
T00443,Grading,EXC002,Excavator,2,OP005,Intermediate,3,Windy,17.12,60.13,42.06,Flat,Soil,59.19,408.83,Morning,6.74,1,4.11,4.07,2.16,38.50,48.64,No
T00444,Trenching,EXC003,Excavator,5,OP015,Expert,9,Foggy,17.40,62.52,11.32,Muddy,Debris,38.74,451.78,Afternoon,6.54,2,5.77,3.71,3.48,64.80,63.24,No
T00445,Trenching,GRD001,Grader,6,OP004,Beginner,1,Cloudy,20.81,70.76,13.05,Rocky,Soil,29.19,122.86,Morning,6.68,2,0.00,9.22,4.49,54.34,83.82,No
T00446,Digging,EXC002,Excavator,2,OP002,Expert,10,Sunny,22.20,38.74,9.56,Hilly,Sand,48.92,138.94,Evening,8.90,3,20.51,1.75,3.94,57.50,66.19,No
T00447,Digging,EXC001,Excavator,7,OP020,Intermediate,6,Rainy,31.99,96.48,6.19,Sandy,Soil,40.75,307.68,Evening,3.73,0,0.00,5.84,4.97,63.25,82.47,No
T00448,Lifting,BLD003,Bulldozer,5,OP013,Intermediate,3,Cloudy,23.09,38.55,10.36,Rocky,Debris,58.09,259.41,Morning,2.72,3,5.12,10.01,3.56,48.30,53.88,No
T00449,Trenching,GRD001,Grader,6,OP015,Expert,9,Sunny,29.85,42.14,14.90,Rocky,Debris,57.89,119.36,Morning,3.51,1,2.75,6.48,3.25,51.75,54.39,No
T00450,Lifting,GRD002,Grader,6,OP001,Beginner,0,Sunny,14.48,60.17,14.61,Rocky,Debris,26.16,430.41,Evening,0.41,1,0.00,13.25,4.65,46.00,66.96,No
T00451,Demolition,DMP001,DumpTruck,6,OP016,Expert,10,Windy,23.58,52.45,44.68,Sandy,Sand,59.39,156.20,Evening,7.86,0,7.05,8.36,7.19,108.90,114.54,No
T00452,Lifting,CRN002,Crane,6,OP020,Intermediate,6,Sunny,24.75,40.59,9.76,Flat,Rock,55.41,315.72,Morning,0.05,1,2.09,6.65,2.14,40.00,46.02,Yes
T00453,Grading,BLD003,Bulldozer,5,OP009,Beginner,2,Sunny,28.81,33.66,4.44,Rocky,Rock,8.72,37.31,Afternoon,0.94,3,7.63,12.97,3.22,40.25,60.67,No
T00454,Compacting,LDR002,Loader,4,OP002,Expert,10,Windy,15.81,38.74,32.26,Muddy,Sand,50.25,153.41,Afternoon,2.97,3,0.00,5.94,5.00,72.60,78.07,No
T00455,Demolition,EXC003,Excavator,5,OP010,Beginner,0,Rainy,20.98,88.26,10.21,Flat,Concrete,35.13,101.01,Evening,0.33,1,10.17,19.27,8.87,103.50,149.40,No
T00456,Grading,BLD001,Bulldozer,2,OP017,Intermediate,6,Rainy,29.89,82.56,8.33,Sandy,Debris,23.70,390.68,Night,2.99,2,5.00,4.95,3.13,44.28,51.80,No
T00457,Trenching,DMP002,DumpTruck,5,OP003,Beginner,2,Sunny,31.76,37.70,1.97,Flat,Rock,42.61,159.25,Evening,1.30,0,0.00,11.33,3.83,45.00,59.12,No
T00458,Material Loading,DMP001,DumpTruck,6,OP009,Beginner,2,Cloudy,11.28,47.84,11.69,Rocky,Debris,23.73,109.57,Morning,4.39,2,0.00,9.40,3.54,36.22,55.26,Yes
T00459,Material Loading,LDR001,Loader,1,OP014,Beginner,2,Cloudy,26.96,48.90,26.74,Flat,Rock,23.61,378.12,Night,2.70,0,2.33,14.21,2.33,31.50,46.77,No
T00460,Compacting,LDR003,Loader,8,OP013,Intermediate,3,Foggy,23.16,55.67,12.18,Muddy,Sand,30.99,21.07,Morning,7.10,0,15.51,6.84,6.60,79.20,103.37,No
T00461,Earth Excavation,BLD001,Bulldozer,2,OP012,Beginner,2,Foggy,25.74,68.26,0.00,Sandy,Concrete,16.41,68.64,Morning,2.89,0,4.56,11.38,6.42,79.20,108.64,No
T00462,Trenching,EXC003,Excavator,5,OP002,Expert,10,Rainy,17.94,63.77,1.41,Rocky,Soil,46.05,262.56,Afternoon,4.88,0,5.82,3.21,4.11,59.51,60.46,Yes
T00463,Trenching,EXC003,Excavator,5,OP010,Beginner,0,Windy,17.60,41.39,32.35,Hilly,Rock,45.17,499.58,Night,3.62,3,10.14,14.33,4.99,56.93,88.73,No
T00464,Material Loading,CRN002,Crane,6,OP020,Intermediate,6,Rainy,20.96,68.39,1.54,Flat,Rock,28.38,408.17,Night,7.27,2,10.50,9.59,2.92,34.50,54.09,No
T00465,Lifting,EXC003,Excavator,5,OP009,Beginner,2,Windy,13.73,59.03,25.92,Rocky,Sand,44.31,465.80,Afternoon,8.46,3,4.94,8.27,4.62,50.60,84.75,Yes
T00466,Earth Excavation,BLD003,Bulldozer,5,OP006,Intermediate,6,Cloudy,16.33,45.70,4.94,Rocky,Debris,13.49,299.66,Afternoon,5.92,0,0.00,7.56,5.27,72.45,90.74,No
T00467,Demolition,EXC002,Excavator,2,OP002,Expert,10,Rainy,13.61,95.20,18.39,Flat,Rock,29.58,466.71,Evening,2.99,1,7.48,7.54,4.99,103.50,95.46,No
T00468,Earth Excavation,BLD003,Bulldozer,5,OP018,Intermediate,4,Sunny,25.90,80.42,11.38,Muddy,Soil,11.66,155.56,Night,6.50,1,1.09,2.94,5.63,72.00,90.44,Yes
T00469,Grading,EXC001,Excavator,7,OP011,Intermediate,3,Sunny,26.34,54.64,12.28,Muddy,Concrete,8.81,39.69,Evening,9.05,1,16.32,13.22,4.64,42.00,60.00,No
T00470,Trenching,BLD002,Bulldozer,5,OP008,Beginner,0,Windy,21.03,57.86,41.12,Hilly,Debris,21.13,182.73,Morning,1.47,2,11.14,8.82,4.88,56.93,81.57,No
T00471,Digging,BLD003,Bulldozer,5,OP009,Beginner,2,Cloudy,21.10,39.04,19.49,Hilly,Debris,25.77,343.52,Evening,3.29,0,0.00,11.77,5.46,60.37,93.37,No
T00472,Digging,BLD002,Bulldozer,5,OP015,Expert,9,Rainy,13.54,81.30,14.67,Flat,Sand,53.60,175.98,Night,4.54,2,0.00,6.21,4.13,57.50,65.37,No
T00473,Trenching,BLD002,Bulldozer,5,OP019,Intermediate,6,Sunny,28.22,57.07,9.05,Sandy,Rock,55.19,160.06,Night,5.28,1,0.04,5.79,3.15,49.50,57.97,No
T00474,Digging,EXC003,Excavator,5,OP002,Expert,10,Cloudy,30.08,45.18,0.00,Sandy,Sand,38.52,264.02,Afternoon,7.45,0,23.04,11.50,3.86,57.75,66.62,No
T00475,Grading,EXC003,Excavator,5,OP003,Beginner,2,Cloudy,18.34,50.45,3.52,Rocky,Sand,32.16,302.84,Afternoon,1.86,2,6.52,8.92,3.58,42.26,60.48,No
T00476,Compacting,DMP002,DumpTruck,5,OP016,Expert,10,Sunny,31.67,51.58,13.59,Rocky,Concrete,24.29,461.84,Evening,9.91,2,0.00,4.27,4.70,63.25,73.54,No
T00477,Grading,CRN002,Crane,6,OP014,Beginner,2,Cloudy,16.51,29.25,14.51,Hilly,Rock,53.97,23.38,Morning,8.95,2,0.00,18.71,4.85,42.26,77.44,No
T00478,Lifting,LDR003,Loader,8,OP012,Beginner,2,Sunny,27.64,70.16,3.86,Muddy,Soil,45.52,168.36,Night,3.74,3,4.32,7.61,5.43,48.00,75.19,No
T00479,Lifting,BLD001,Bulldozer,2,OP006,Intermediate,6,Sunny,19.87,63.02,10.63,Hilly,Rock,32.56,73.13,Afternoon,6.69,0,12.20,1.40,3.42,46.00,57.61,No
T00480,Trenching,EXC002,Excavator,2,OP019,Intermediate,6,Windy,16.21,40.97,47.30,Hilly,Sand,43.66,233.37,Night,7.42,3,8.19,0.00,3.96,56.93,75.41,No
T00481,Grading,BLD002,Bulldozer,5,OP004,Beginner,1,Windy,17.46,38.58,33.01,Flat,Soil,50.09,67.64,Evening,1.96,0,0.00,9.09,3.08,38.50,53.67,No
T00482,Demolition,LDR002,Loader,4,OP019,Intermediate,6,Sunny,16.14,56.03,17.81,Flat,Debris,12.28,440.93,Night,9.11,1,3.97,9.47,6.42,90.00,119.83,No
T00483,Lifting,LDR001,Loader,1,OP007,Intermediate,3,Foggy,7.75,49.35,17.81,Muddy,Concrete,44.00,274.73,Evening,8.85,0,5.79,7.17,4.03,57.60,75.03,No
T00484,Digging,LDR002,Loader,4,OP004,Beginner,1,Sunny,31.72,47.57,5.41,Hilly,Debris,35.66,280.94,Morning,1.82,2,1.01,14.27,4.88,57.50,80.31,No
T00485,Grading,CRN001,Crane,3,OP004,Beginner,1,Sunny,19.29,54.16,23.08,Sandy,Sand,37.12,351.99,Morning,6.86,2,4.77,12.44,3.64,38.50,60.77,No
T00486,Trenching,BLD002,Bulldozer,5,OP014,Beginner,2,Sunny,25.97,55.01,11.36,Rocky,Debris,52.86,119.83,Morning,9.56,2,3.49,12.82,4.87,51.75,87.12,No
T00487,Digging,LDR001,Loader,1,OP010,Beginner,0,Sunny,8.73,57.22,0.00,Hilly,Concrete,34.38,417.23,Evening,0.54,3,7.76,5.84,4.14,57.50,75.49,No
T00488,Lifting,EXC001,Excavator,7,OP003,Beginner,2,Cloudy,16.37,61.64,2.23,Hilly,Concrete,56.51,240.43,Morning,9.21,2,9.57,13.59,5.18,48.30,80.73,No
T00489,Trenching,LDR003,Loader,8,OP004,Beginner,1,Sunny,15.25,44.93,14.35,Sandy,Debris,37.22,408.96,Night,1.99,0,0.00,12.95,4.13,49.50,68.72,No
T00490,Material Loading,DMP001,DumpTruck,6,OP005,Intermediate,3,Sunny,22.84,53.51,11.86,Hilly,Debris,9.76,25.68,Morning,3.65,2,0.00,10.22,2.59,34.50,47.78,No
T00491,Trenching,CRN002,Crane,6,OP011,Intermediate,3,Rainy,28.22,84.67,0.00,Hilly,Rock,26.73,194.76,Afternoon,8.92,0,3.05,9.53,4.59,59.51,78.91,No
T00492,Lifting,EXC003,Excavator,5,OP002,Expert,10,Rainy,13.44,51.15,7.53,Hilly,Soil,24.07,51.09,Afternoon,7.13,3,1.33,11.10,3.32,52.90,57.77,Yes
T00493,Material Loading,GRD001,Grader,6,OP001,Beginner,0,Snowy,0.35,54.32,17.64,Muddy,Rock,45.92,309.80,Evening,1.21,0,8.61,15.22,3.80,46.80,68.48,Yes
T00494,Grading,GRD002,Grader,6,OP017,Intermediate,6,Sunny,19.45,48.28,10.27,Rocky,Sand,40.19,217.84,Evening,2.90,2,3.65,8.20,2.71,40.25,46.64,No
T00495,Demolition,LDR002,Loader,4,OP007,Intermediate,3,Rainy,5.74,83.80,10.90,Flat,Rock,44.81,124.98,Morning,4.24,2,13.40,13.89,5.65,103.50,106.12,No
T00496,Grading,GRD002,Grader,6,OP007,Intermediate,3,Cloudy,30.80,54.24,2.91,Hilly,Soil,24.06,48.05,Evening,1.08,3,10.38,0.91,3.08,42.26,48.57,No
T00497,Digging,GRD002,Grader,6,OP018,Intermediate,4,Cloudy,17.72,59.27,3.03,Muddy,Debris,43.11,171.71,Morning,5.53,3,0.00,2.50,4.84,63.00,83.07,No
T00498,Lifting,CRN002,Crane,6,OP012,Beginner,2,Sunny,11.83,48.09,15.07,Hilly,Soil,17.35,64.04,Morning,9.19,0,7.44,14.18,4.70,46.00,80.15,Yes
